credit_id,customer_id,credit_type,principal_amount,outstanding_balance,interest_rate,disbursement_date,maturity_date,collectibility,branch_code,status
5001,5730,Credit Card,212856341,138164065,20.73,2019-01-28,2028-03-20,CURRENT,JKT02,ACTIVE
5002,9081,Credit Card,65908532,34242218,18.2,2021-07-17,2028-04-01,CURRENT,SMG01,ACTIVE
5003,5251,Credit Card,44769208,27508696,18.7,2022-05-25,2027-09-12,CURRENT,MDN01,ACTIVE
5004,9546,Mortgage,610456365,5412574,7.07,2021-04-07,2025-12-21,CURRENT,BDG01,CLOSED
5005,8057,Credit Card,7677188,6193710,18.46,2019-01-25,2027-08-26,CURRENT,BDG01,ACTIVE
5006,9581,Mortgage,1351332624,40707937,5.71,2024-01-21,2025-11-25,CURRENT,BDG01,CLOSED
5007,7415,Mortgage,958360322,401586026,7.14,2023-06-29,2034-07-18,CURRENT,MDN01,ACTIVE
5008,5862,Credit Card,35100132,28565680,20.83,2024-10-28,2028-06-20,CURRENT,SBY01,ACTIVE
5009,511,Personal Loan,168803921,84529123,8.41,2018-11-05,2027-05-03,CURRENT,SMG01,ACTIVE
5010,6975,Working Capital,500152659,191876137,11.03,2020-12-22,2026-11-15,CURRENT,SMG01,ACTIVE
5011,1636,Mortgage,649713247,464552557,7.78,2018-09-23,2038-02-08,CURRENT,JKT02,ACTIVE
5012,5647,Auto Loan,235815140,70723933,6.68,2018-05-19,2026-06-06,CURRENT,BDG01,ACTIVE
5013,2975,Credit Card,80177053,62404986,20.55,2022-06-01,2028-08-03,CURRENT,JKT02,ACTIVE
5014,347,Working Capital,670441908,458059001,10.27,2025-05-07,2029-11-18,CURRENT,JKT01,ACTIVE
5015,6779,Mortgage,607720458,360801201,6.61,2021-04-07,2031-12-24,CURRENT,JKT01,ACTIVE
5016,3325,Personal Loan,137017597,66008578,13.19,2018-11-27,2026-07-16,CURRENT,YGY01,ACTIVE
5017,8095,Credit Card,119079243,83652449,22.57,2023-06-04,2028-05-12,CURRENT,YGY01,ACTIVE
5018,7472,Working Capital,964640941,743557442,9.06,2018-12-29,2026-05-02,CURRENT,JKT01,ACTIVE
5019,3389,Mortgage,1185841175,19744653,5.3,2023-06-03,2026-03-03,CURRENT,JKT02,CLOSED
5020,2201,Auto Loan,189304015,92112310,7.65,2021-07-09,2027-05-20,CURRENT,JKT02,ACTIVE
5021,5676,Working Capital,1286155224,964497940,11.31,2020-08-26,2027-07-13,SUBSTANDARD,BDG01,RESTRUCTURED
5022,7350,Personal Loan,185547526,59422729,8.89,2023-10-21,2026-10-08,CURRENT,SBY01,ACTIVE
5023,2456,Working Capital,322800271,269250520,12.22,2022-11-22,2027-02-06,CURRENT,JKT01,ACTIVE
5024,9826,Personal Loan,89047176,46521803,14.6,2020-03-05,2028-05-05,SPECIAL_MENTION,SBY01,ACTIVE
5025,8956,Working Capital,1142460540,564265167,10.35,2023-09-20,2026-04-06,CURRENT,BDG01,ACTIVE
5026,4889,Credit Card,177447279,127383247,17.83,2020-05-07,2028-02-19,CURRENT,SMG01,ACTIVE
5027,6083,Credit Card,63705978,29263524,23.81,2021-06-30,2028-06-29,CURRENT,BDG01,ACTIVE
5028,7861,Credit Card,37480773,14487395,18.92,2022-10-19,2026-08-08,CURRENT,JKT01,ACTIVE
5029,2732,Mortgage,1393123101,764343217,5.55,2025-01-06,2034-04-27,CURRENT,YGY01,ACTIVE
5030,7700,Personal Loan,58249441,22288602,9.66,2019-04-06,2028-02-03,CURRENT,BDG01,ACTIVE
5031,1475,Credit Card,89279874,73816566,23.38,2021-12-06,2027-02-21,CURRENT,SMG01,ACTIVE
5032,3635,Credit Card,87415495,52482905,19.31,2017-07-18,2027-12-10,CURRENT,JKT01,ACTIVE
5033,8005,Mortgage,1015240502,483715143,9.6,2017-11-09,2026-11-17,CURRENT,JKT02,ACTIVE
5034,9132,Auto Loan,302005155,243573879,8.83,2018-10-28,2027-10-24,CURRENT,JKT02,ACTIVE
5035,101,Credit Card,70123882,52088305,23.63,2019-04-23,2027-04-06,CURRENT,MDN01,ACTIVE
5036,8558,Credit Card,35880365,25903094,23.13,2023-07-11,2027-12-14,CURRENT,BDG01,ACTIVE
5037,7322,Mortgage,1310484657,652991780,8.6,2025-06-24,2040-09-13,CURRENT,SBY01,ACTIVE
5038,9665,Credit Card,41170211,33485486,22.2,2019-04-16,2027-06-14,CURRENT,SBY01,ACTIVE
5039,2460,Auto Loan,172545814,157211939,7.81,2023-01-02,2027-10-12,CURRENT,MDN01,ACTIVE
5040,4720,Auto Loan,160003420,124565869,9.11,2023-02-25,2026-10-10,CURRENT,MDN01,ACTIVE
5041,7976,Working Capital,1082569914,24078131,11.04,2016-01-11,2020-09-04,CURRENT,SMG01,CLOSED
5042,9873,Personal Loan,57204679,1211843,17.09,2025-12-10,2026-03-14,CURRENT,MDN01,CLOSED
5043,5311,Credit Card,93721541,59815508,21.55,2017-12-05,2027-05-03,CURRENT,JKT02,ACTIVE
5044,3963,Mortgage,629021824,520192190,8.0,2017-08-03,2028-01-12,CURRENT,BDG01,ACTIVE
5045,6122,Mortgage,1140837899,734568453,7.08,2024-10-27,2039-08-26,CURRENT,SBY01,ACTIVE
5046,6426,Credit Card,185377755,110313525,22.9,2016-09-25,2026-12-14,SUBSTANDARD,BDG01,ACTIVE
5047,4591,Credit Card,50494554,33986894,19.34,2021-01-04,2028-08-30,SPECIAL_MENTION,MDN01,ACTIVE
5048,4112,Mortgage,1002125213,436317268,8.5,2018-05-12,2031-03-20,CURRENT,YGY01,ACTIVE
5049,320,Personal Loan,113365020,51696089,11.68,2023-11-06,2028-06-16,CURRENT,JKT01,ACTIVE
5050,2663,Mortgage,1175584518,968317577,4.93,2024-03-19,2043-07-07,CURRENT,JKT01,ACTIVE
5051,4775,Credit Card,73277094,216972,22.26,2021-01-06,2022-08-31,CURRENT,SBY01,CLOSED
5052,1508,Personal Loan,91799332,65169636,14.76,2018-03-20,2028-04-23,CURRENT,SMG01,ACTIVE
5053,2348,Personal Loan,121116243,104533941,10.23,2024-06-18,2030-04-30,SPECIAL_MENTION,SMG01,ACTIVE
5054,662,Credit Card,61974091,84960,22.93,2018-04-23,2019-12-27,CURRENT,MDN01,CLOSED
5055,3731,Auto Loan,354235012,134488148,9.08,2021-03-29,2027-12-03,CURRENT,MDN01,ACTIVE
5056,3362,Credit Card,222633964,107982892,19.55,2020-07-23,2026-07-25,CURRENT,SMG01,ACTIVE
5057,2122,Mortgage,1321305354,615732611,6.07,2017-10-27,2028-09-06,SPECIAL_MENTION,SMG01,ACTIVE
5058,3624,Mortgage,1219939496,819632969,9.39,2025-02-24,2035-02-28,CURRENT,JKT02,ACTIVE
5059,1716,Auto Loan,573599836,347828164,9.42,2019-02-01,2028-02-07,CURRENT,JKT01,ACTIVE
5060,4585,Personal Loan,105390304,46050036,11.43,2017-08-06,2028-04-30,CURRENT,JKT02,ACTIVE
5061,8411,Personal Loan,76629035,39625477,13.65,2022-10-11,2027-02-06,CURRENT,YGY01,ACTIVE
5062,5412,Credit Card,68594074,21162837,22.58,2025-11-27,2029-08-02,CURRENT,BDG01,ACTIVE
5063,4702,Personal Loan,89966062,61675581,12.88,2025-12-03,2030-08-13,CURRENT,SMG01,ACTIVE
