account_id,customer_id,product_type,balance,maturity_date,branch_code,status
1001,3041,Time Deposit,1064351870,2026-10-19,BDG01,ACTIVE
1002,6513,Savings,92220562,2027-10-08,SBY01,ACTIVE
1003,1441,Time Deposit,1628199520,2026-09-12,JKT02,ACTIVE
1004,7955,Savings,59395349,2026-12-02,JKT01,ACTIVE
1005,4755,Savings,82161932,2027-11-01,SBY01,ACTIVE
1006,3874,Savings,69815595,2026-07-25,JKT02,ACTIVE
1007,6715,Savings,30944732,2027-04-21,SBY01,ACTIVE
1008,2508,Savings,8231139,2026-04-28,MDN01,ACTIVE
1009,3237,Time Deposit,1071775220,2026-09-06,JKT01,ACTIVE
1010,5227,Savings,60144820,2027-01-25,YGY01,ACTIVE
1011,1409,Time Deposit,1006491011,2026-09-27,SMG01,ACTIVE
1012,5502,Savings,56655479,2026-04-30,SBY01,ACTIVE
1013,6138,Savings,128130516,2026-10-14,BDG01,ACTIVE
1014,6664,Savings,76930874,2027-07-28,SBY01,ACTIVE
1015,6903,Savings,16118787,2026-12-12,JKT01,ACTIVE
1016,8072,Savings,11169136,2026-12-31,JKT01,ACTIVE
1017,5373,Time Deposit,1106092870,2026-09-23,BDG01,ACTIVE
1018,6369,Savings,54494325,2026-05-18,JKT02,ACTIVE
1019,9050,Time Deposit,1397979719,2026-06-07,SMG01,ACTIVE
1020,179,Time Deposit,988400625,2027-03-13,JKT01,ACTIVE
1021,4225,Savings,41081715,2026-05-03,JKT02,ACTIVE
1022,7515,Savings,21016005,2027-01-13,SBY01,ACTIVE
1023,2218,Savings,74032054,2026-07-21,YGY01,ACTIVE
1024,6444,Time Deposit,653349182,2026-04-15,MDN01,ACTIVE
1025,2156,Time Deposit,1266972351,2026-06-02,YGY01,ACTIVE
1026,5333,Time Deposit,568230729,2026-11-25,YGY01,ACTIVE
1027,5749,Savings,16416065,2028-01-30,SBY01,ACTIVE
1028,9588,Savings,48846909,2028-01-24,JKT02,ACTIVE
1029,7535,Savings,7560370,2028-02-21,YGY01,ACTIVE
1030,613,Savings,11163211,2026-12-27,JKT02,ACTIVE
1031,7444,Time Deposit,217352457,2026-04-09,YGY01,ACTIVE
1032,856,Savings,17732369,2027-08-15,YGY01,ACTIVE
1033,6228,Savings,32655491,2027-01-29,JKT02,ACTIVE
1034,1334,Savings,75869225,2028-01-05,JKT02,ACTIVE
1035,1340,Savings,34991410,2027-09-01,SBY01,ACTIVE
1036,4538,Savings,105492595,2027-04-20,SBY01,ACTIVE
1037,6765,Savings,236315966,2028-02-18,YGY01,ACTIVE
1038,5258,Time Deposit,223691853,2026-05-21,BDG01,ACTIVE
1039,5312,Savings,4920053,2027-05-07,JKT02,ACTIVE
1040,5360,Savings,15599748,2027-10-14,SBY01,ACTIVE
1041,5464,Time Deposit,792731536,2026-04-08,YGY01,ACTIVE
1042,7507,Time Deposit,953776779,2027-02-14,MDN01,ACTIVE
1043,8852,Time Deposit,734923453,2027-03-05,SMG01,ACTIVE
1044,7928,Savings,27989097,2026-06-11,SBY01,ACTIVE
1045,5781,Time Deposit,644443326,2027-03-15,SMG01,ACTIVE
1046,1769,Savings,8594985,2028-01-29,JKT01,ACTIVE
1047,1501,Time Deposit,813445621,2026-10-25,JKT01,ACTIVE
1048,8535,Time Deposit,1223982674,2026-11-28,SMG01,ACTIVE
1049,9496,Savings,227793744,2028-02-04,SBY01,ACTIVE
1050,5303,Time Deposit,403497486,2027-01-16,SMG01,ACTIVE
1051,7889,Savings,100025914,2026-07-04,YGY01,ACTIVE
1052,2232,Savings,22651589,2027-02-06,YGY01,ACTIVE
1053,6392,Time Deposit,1081878398,2026-05-03,JKT01,ACTIVE
1054,7143,Savings,16817564,2026-12-06,MDN01,ACTIVE
1055,3330,Time Deposit,498204140,2026-08-21,SBY01,ACTIVE
1056,2128,Savings,44867657,2027-05-30,MDN01,ACTIVE
1057,1957,Time Deposit,624227020,2026-09-27,BDG01,ACTIVE
1058,7679,Time Deposit,1123269789,2026-12-08,MDN01,ACTIVE
1059,4686,Savings,108514051,2028-01-17,MDN01,ACTIVE
1060,1533,Time Deposit,197736196,2026-04-22,SMG01,ACTIVE
1061,7197,Savings,74584354,2026-07-23,MDN01,ACTIVE
1062,2548,Time Deposit,902217187,2026-10-30,SMG01,ACTIVE
1063,578,Savings,50589251,2027-08-28,BDG01,ACTIVE
1064,5880,Savings,33856887,2026-05-28,SMG01,ACTIVE
1065,7017,Savings,131200650,2028-03-01,YGY01,ACTIVE
1066,145,Savings,1830735,2027-01-11,MDN01,ACTIVE
1067,9400,Savings,18190332,2026-10-19,BDG01,ACTIVE
1068,1563,Savings,176107044,2028-01-31,BDG01,ACTIVE
1069,8777,Savings,21621573,2027-05-23,SBY01,ACTIVE
1070,3506,Time Deposit,651675090,2026-12-20,JKT02,ACTIVE
1071,8546,Time Deposit,842204471,2026-11-19,JKT01,ACTIVE
1072,5881,Savings,89826298,2026-10-16,MDN01,ACTIVE
1073,2157,Time Deposit,232799188,2026-07-29,BDG01,ACTIVE
1074,2305,Savings,14947917,2027-07-17,MDN01,ACTIVE
1075,4878,Savings,11677081,2026-08-26,SBY01,ACTIVE
1076,8001,Time Deposit,1024134258,2026-12-02,BDG01,ACTIVE
1077,484,Time Deposit,138235348,2027-02-25,SMG01,ACTIVE
1078,4400,Savings,1667219,2027-08-16,JKT01,ACTIVE
1079,6312,Time Deposit,652971250,2026-12-17,JKT01,ACTIVE
1080,9547,Savings,202148509,2027-11-26,SMG01,ACTIVE
1081,357,Time Deposit,948702250,2026-10-18,MDN01,ACTIVE
1082,9790,Savings,18618011,2028-02-28,BDG01,ACTIVE
1083,4785,Time Deposit,724975044,2026-05-16,SBY01,ACTIVE
1084,1206,Time Deposit,432360834,2026-07-26,BDG01,ACTIVE
1085,3918,Time Deposit,1377645148,2026-04-25,JKT02,ACTIVE
1086,1533,Time Deposit,325953491,2027-01-18,BDG01,ACTIVE
1087,7166,Time Deposit,822473479,2026-11-14,MDN01,ACTIVE
1088,7383,Savings,31715857,2026-04-25,SBY01,ACTIVE
1089,9687,Time Deposit,566264125,2027-03-04,SBY01,ACTIVE
1090,1755,Savings,23900553,2027-02-13,YGY01,ACTIVE
1091,4650,Savings,39835508,2027-06-14,MDN01,ACTIVE
1092,6804,Time Deposit,359282925,2026-10-10,JKT01,ACTIVE
1093,2593,Time Deposit,1344220914,2026-07-13,MDN01,ACTIVE
1094,4070,Time Deposit,535878158,2027-01-18,SBY01,ACTIVE
1095,1757,Time Deposit,933812228,2026-10-18,MDN01,ACTIVE
1096,2988,Savings,33884089,2026-05-24,SMG01,ACTIVE
1097,3194,Time Deposit,1423778230,2026-10-18,SBY01,ACTIVE
1098,2163,Savings,134391660,2026-11-06,SBY01,ACTIVE
1099,1452,Time Deposit,607920630,2026-04-27,BDG01,ACTIVE
1100,6807,Savings,5991042,2027-09-19,SBY01,ACTIVE
1101,8713,Time Deposit,827183607,2027-02-25,JKT01,ACTIVE
1102,8721,Time Deposit,565415261,2026-05-16,JKT02,ACTIVE
1103,7433,Savings,33646548,2026-11-01,YGY01,ACTIVE
1104,9320,Savings,27803252,2028-03-01,MDN01,ACTIVE
1105,2456,Savings,198529337,2027-08-22,MDN01,ACTIVE
1106,8875,Time Deposit,633522260,2027-01-22,MDN01,ACTIVE
1107,5484,Savings,47942031,2026-06-16,BDG01,ACTIVE
1108,3621,Time Deposit,1080765434,2026-04-18,SBY01,ACTIVE
1109,901,Savings,21576737,2027-12-25,SBY01,ACTIVE
1110,6110,Time Deposit,515154056,2026-08-27,MDN01,ACTIVE
1111,5531,Time Deposit,1652850659,2026-04-04,JKT01,ACTIVE
1112,6591,Savings,10822279,2026-07-31,JKT02,ACTIVE
1113,9803,Savings,21034153,2027-08-10,YGY01,ACTIVE
1114,2613,Savings,6326659,2027-07-03,YGY01,ACTIVE
1115,5494,Savings,6779481,2027-09-08,SBY01,ACTIVE
1116,843,Savings,22264737,2026-06-23,SMG01,ACTIVE
1117,2658,Time Deposit,1151418899,2026-05-02,MDN01,ACTIVE
1118,5924,Time Deposit,572086707,2026-11-28,SBY01,ACTIVE
1119,6685,Time Deposit,832784933,2027-02-01,JKT02,ACTIVE
1120,1547,Savings,14624881,2026-08-25,MDN01,ACTIVE
1121,5513,Time Deposit,1178262893,2026-11-09,JKT02,ACTIVE
1122,64,Savings,28665670,2027-10-27,YGY01,ACTIVE
1123,8711,Savings,197559887,2026-12-12,BDG01,ACTIVE
1124,9498,Time Deposit,931362762,2027-02-07,SBY01,ACTIVE
1125,1035,Savings,10251006,2027-12-18,MDN01,ACTIVE
1126,4117,Savings,9311562,2027-10-05,MDN01,ACTIVE
1127,3108,Savings,12072726,2027-01-23,MDN01,ACTIVE
1128,3614,Savings,64461568,2027-09-29,JKT02,ACTIVE
1129,1023,Savings,101478272,2027-10-30,BDG01,ACTIVE
1130,7280,Savings,53407092,2027-10-19,SBY01,ACTIVE
1131,3174,Savings,31155813,2027-04-09,YGY01,ACTIVE
1132,258,Time Deposit,1035570618,2027-02-27,JKT01,ACTIVE
1133,3209,Savings,7281226,2028-02-01,SMG01,ACTIVE
1134,8905,Time Deposit,383139436,2026-12-07,YGY01,ACTIVE
1135,9651,Savings,102735899,2027-12-08,JKT02,ACTIVE
1136,4494,Time Deposit,552602988,2026-11-04,SBY01,ACTIVE
1137,1929,Savings,131448726,2027-05-17,YGY01,ACTIVE
1138,3313,Time Deposit,396081232,2026-11-13,SBY01,ACTIVE
1139,2768,Time Deposit,1770274186,2026-07-10,SBY01,ACTIVE
1140,5791,Time Deposit,615565308,2026-11-06,JKT02,ACTIVE
1141,5060,Savings,6722818,2026-04-15,JKT02,ACTIVE
1142,2172,Savings,20282223,2028-01-29,SBY01,ACTIVE
1143,2441,Time Deposit,140111141,2026-06-23,JKT01,ACTIVE
1144,6023,Savings,190654378,2026-04-18,BDG01,ACTIVE
1145,4770,Time Deposit,341464411,2026-11-30,YGY01,ACTIVE
1146,9091,Savings,9500344,2026-07-01,BDG01,ACTIVE
1147,3566,Savings,17193869,2027-06-08,SBY01,ACTIVE
1148,165,Savings,27490150,2027-03-05,SMG01,ACTIVE
1149,1151,Savings,16842860,2027-02-14,SBY01,ACTIVE
1150,9760,Savings,45739026,2026-11-10,SMG01,ACTIVE
1151,4436,Time Deposit,846942404,2026-11-16,YGY01,ACTIVE
1152,3000,Time Deposit,1196847445,2026-09-24,MDN01,ACTIVE
1153,8730,Savings,11525215,2028-01-21,SMG01,ACTIVE
1154,5398,Time Deposit,261477164,2027-02-01,SBY01,ACTIVE
1155,643,Savings,172665602,2027-03-08,JKT02,ACTIVE
1156,3400,Savings,108248316,2027-01-24,JKT02,ACTIVE
1157,4412,Savings,8902342,2027-09-16,BDG01,ACTIVE
1158,5197,Savings,42370086,2026-06-28,YGY01,ACTIVE
1159,8581,Savings,38101890,2027-11-12,YGY01,ACTIVE
1160,5236,Savings,18469722,2028-02-28,SMG01,ACTIVE
1161,8495,Savings,27015743,2027-12-14,JKT01,ACTIVE
1162,6412,Savings,43866318,2027-12-09,JKT01,ACTIVE
1163,3207,Savings,56642804,2026-12-06,SBY01,ACTIVE
1164,3229,Savings,4780993,2027-11-16,JKT01,ACTIVE
1165,5737,Savings,37920857,2027-02-06,SBY01,ACTIVE
1166,1259,Time Deposit,900065194,2026-05-22,JKT02,ACTIVE
1167,1879,Savings,201102982,2026-06-10,YGY01,ACTIVE
1168,9786,Savings,11322113,2027-04-30,YGY01,ACTIVE
1169,1937,Time Deposit,1112026494,2026-11-27,BDG01,ACTIVE
1170,9326,Time Deposit,1181196819,2026-04-10,SMG01,ACTIVE
1171,3982,Time Deposit,567023419,2026-05-31,SMG01,ACTIVE
1172,4054,Savings,110069057,2027-08-28,YGY01,ACTIVE
1173,6309,Time Deposit,567352571,2027-01-07,JKT02,ACTIVE
1174,7800,Time Deposit,891906180,2026-11-24,YGY01,ACTIVE
1175,9395,Savings,21582747,2027-08-08,SBY01,ACTIVE
1176,2180,Savings,19183187,2026-12-24,YGY01,ACTIVE
1177,4397,Savings,4465018,2027-09-08,MDN01,ACTIVE
1178,5718,Time Deposit,1378865258,2026-09-18,JKT01,ACTIVE
1179,7924,Time Deposit,517727678,2026-08-27,BDG01,ACTIVE
1180,9960,Time Deposit,936002797,2026-06-10,SMG01,ACTIVE
1181,4021,Time Deposit,935409088,2026-04-13,MDN01,ACTIVE
1182,822,Time Deposit,463908640,2026-07-02,MDN01,ACTIVE
1183,9491,Savings,63255556,2027-09-26,JKT02,ACTIVE
1184,3467,Savings,3631264,2028-01-11,BDG01,ACTIVE
1185,6725,Savings,16439545,2026-08-16,JKT01,ACTIVE
1186,4625,Savings,21447333,2027-07-11,JKT02,ACTIVE
1187,2784,Time Deposit,1046904050,2027-01-27,YGY01,ACTIVE
1188,8475,Savings,24590717,2027-09-15,MDN01,ACTIVE
1189,5048,Savings,89518248,2027-03-03,YGY01,ACTIVE
1190,1994,Time Deposit,205498138,2026-07-09,MDN01,ACTIVE
1191,3937,Savings,17989827,2027-07-06,SMG01,ACTIVE
1192,2155,Savings,14887004,2027-07-23,MDN01,ACTIVE
