credit_id,customer_id,credit_type,principal_amount,outstanding_balance,interest_rate,disbursement_date,maturity_date,collectibility,branch_code,status
5001,5730,Credit Card,212856341,138164065,20.73,2019-01-28,2028-03-21,CURRENT,JKT02,ACTIVE
5002,9081,Credit Card,65908532,34242218,18.2,2021-07-17,2028-04-02,CURRENT,SMG01,ACTIVE
5003,5249,Credit Card,44769208,27508696,18.7,2022-05-25,2027-09-13,CURRENT,MDN01,ACTIVE
5004,9546,Mortgage,610456365,5412574,7.07,2021-04-07,2025-12-22,CURRENT,BDG01,CLOSED
5005,8054,Credit Card,7677188,6193710,18.46,2019-01-25,2027-08-27,CURRENT,BDG01,ACTIVE
5006,9581,Mortgage,1351332624,40707937,5.71,2024-01-21,2025-11-26,CURRENT,BDG01,CLOSED
5007,7414,Mortgage,614456944,257478650,7.74,2023-06-29,2034-07-18,CURRENT,MDN01,ACTIVE
5008,5860,Credit Card,87429131,71152798,19.83,2024-10-28,2028-06-21,CURRENT,SBY01,ACTIVE
5009,511,Personal Loan,168803921,84529123,8.41,2018-11-05,2027-05-04,CURRENT,SMG01,ACTIVE
5010,6974,Working Capital,938186527,359921323,12.03,2020-12-22,2026-11-16,CURRENT,SMG01,ACTIVE
5011,1635,Mortgage,649713247,464552557,7.78,2018-09-23,2038-02-08,CURRENT,JKT02,ACTIVE
5012,5645,Auto Loan,235815140,70723933,6.68,2018-05-19,2026-06-07,CURRENT,BDG01,ACTIVE
5013,2974,Credit Card,80177053,62404986,20.55,2022-06-01,2028-08-04,CURRENT,JKT02,ACTIVE
5014,347,Working Capital,670441908,458059001,10.27,2025-05-07,2029-11-18,CURRENT,JKT01,ACTIVE
5015,6777,Mortgage,607720458,360801201,6.61,2021-04-07,2031-12-24,CURRENT,JKT01,ACTIVE
5016,3324,Auto Loan,448936453,216276289,8.26,2018-11-27,2026-07-17,CURRENT,YGY01,ACTIVE
5017,8094,Credit Card,51628864,36268965,23.57,2023-06-04,2028-05-12,CURRENT,YGY01,ACTIVE
5018,7469,Mortgage,640566267,155135445,8.67,2018-12-29,2029-06-28,CURRENT,JKT02,ACTIVE
5019,9021,Auto Loan,517457115,225338484,6.48,2023-06-03,2030-02-17,CURRENT,SBY01,ACTIVE
5020,1590,Personal Loan,94371055,1085038,10.56,2022-09-25,2025-11-29,CURRENT,SBY01,CLOSED
5021,241,Personal Loan,178184589,114690088,8.88,2024-11-04,2031-06-30,CURRENT,JKT02,ACTIVE
5022,3577,Auto Loan,366188060,117273965,6.6,2020-12-30,2026-10-09,CURRENT,SBY01,ACTIVE
5023,2455,Working Capital,322800271,269250520,12.22,2022-11-22,2027-02-07,CURRENT,JKT01,ACTIVE
5024,9826,Personal Loan,89047176,46521803,14.6,2020-03-05,2028-05-06,SPECIAL_MENTION,SBY01,ACTIVE
5025,8956,Working Capital,1142460540,564265167,10.35,2023-09-20,2026-04-06,CURRENT,BDG01,ACTIVE
5026,4889,Credit Card,177447279,127383247,17.83,2020-05-07,2028-02-20,CURRENT,SMG01,ACTIVE
5027,6081,Credit Card,63705978,29263524,23.81,2021-06-30,2028-06-30,CURRENT,BDG01,ACTIVE
5028,7858,Credit Card,37480773,14487395,19.32,2022-10-19,2026-08-08,CURRENT,JKT01,ACTIVE
5029,2731,Mortgage,2020342099,1108469724,4.95,2025-01-06,2034-04-27,CURRENT,YGY01,ACTIVE
5030,7697,Personal Loan,58249441,22288602,9.66,2019-04-06,2028-02-04,CURRENT,BDG01,ACTIVE
5031,1475,Credit Card,89279874,73816566,23.38,2021-12-06,2027-02-22,CURRENT,SMG01,ACTIVE
5032,3633,Credit Card,187605424,112635382,18.71,2017-07-18,2027-12-11,CURRENT,JKT01,ACTIVE
5033,8003,Mortgage,1015240502,483715143,9.6,2017-11-09,2026-11-17,CURRENT,JKT02,ACTIVE
5034,9133,Working Capital,683289689,551088342,9.99,2018-10-28,2027-10-25,CURRENT,JKT02,ACTIVE
5035,101,Credit Card,70123882,52088305,23.63,2019-04-23,2027-04-07,CURRENT,MDN01,ACTIVE
5036,8558,Credit Card,35880365,25903094,23.13,2023-07-11,2027-12-14,CURRENT,BDG01,ACTIVE
5037,7321,Working Capital,297262556,148120776,11.94,2025-06-24,2031-08-04,CURRENT,SBY01,ACTIVE
5038,9666,Credit Card,41170211,33485486,22.2,2019-04-16,2027-06-15,CURRENT,SBY01,ACTIVE
5039,2459,Auto Loan,172545814,157211939,7.81,2023-01-02,2027-10-12,CURRENT,MDN01,ACTIVE
5040,4719,Working Capital,610408889,337376536,13.6,2023-02-25,2028-08-03,CURRENT,MDN01,ACTIVE
5041,7973,Auto Loan,253781046,5644506,8.88,2016-01-11,2021-09-04,CURRENT,SMG01,CLOSED
5042,9873,Personal Loan,57204679,1211843,17.09,2025-12-10,2026-03-15,CURRENT,MDN01,CLOSED
5043,5309,Credit Card,93721541,59815508,21.55,2017-12-05,2027-05-04,CURRENT,JKT02,ACTIVE
5044,3962,Mortgage,629021824,520192190,8.4,2017-08-03,2028-01-13,CURRENT,BDG01,ACTIVE
5045,6121,Working Capital,254086630,163602579,10.11,2024-10-27,2030-09-26,CURRENT,SBY01,ACTIVE
5046,6423,Credit Card,86252133,51326421,23.5,2016-09-25,2026-12-15,SUBSTANDARD,BDG01,ACTIVE
5047,4590,Credit Card,116907205,78687949,18.34,2021-01-04,2028-08-31,SPECIAL_MENTION,MDN01,ACTIVE
5048,4110,Mortgage,1494824121,650834416,7.9,2018-05-12,2031-03-20,CURRENT,YGY01,ACTIVE
5049,320,Personal Loan,113365020,51696089,11.68,2023-11-06,2028-06-16,CURRENT,JKT01,ACTIVE
5050,2662,Working Capital,262929814,232145718,10.39,2024-03-19,2028-07-20,CURRENT,YGY01,ACTIVE
5051,8305,Mortgage,800922125,647557421,9.64,2021-06-09,2029-11-10,CURRENT,SBY01,ACTIVE
5052,5091,Personal Loan,117071400,106142725,9.74,2016-09-23,2026-12-23,SUBSTANDARD,MDN01,ACTIVE
5053,2920,Personal Loan,156659459,135482337,16.47,2022-06-27,2027-07-15,CURRENT,JKT01,ACTIVE
5054,9489,Credit Card,110656005,621467,21.67,2023-01-12,2026-02-04,CURRENT,SBY01,CLOSED
5055,6402,Mortgage,1331630796,964088615,5.82,2022-04-12,2033-02-27,CURRENT,YGY01,ACTIVE
5056,6921,Credit Card,110953973,73366089,19.69,2018-07-18,2027-04-25,CURRENT,JKT01,ACTIVE
5057,7551,Mortgage,1258678438,1062008313,8.22,2025-12-14,2034-03-12,DOUBTFUL,BDG01,ACTIVE
5058,6009,Personal Loan,34234504,23000917,15.5,2024-04-18,2028-10-19,CURRENT,JKT02,ACTIVE
5059,1715,Working Capital,2630275202,1594986153,11.63,2019-02-01,2028-02-08,CURRENT,JKT01,ACTIVE
5060,4584,Personal Loan,210780608,92100074,10.83,2017-08-06,2028-05-01,CURRENT,JKT02,ACTIVE
5061,8410,Personal Loan,76629035,39625477,13.65,2022-10-11,2027-02-07,CURRENT,YGY01,ACTIVE
5062,5411,Credit Card,151565147,46761308,21.58,2025-11-27,2029-08-02,CURRENT,BDG01,ACTIVE
