account_id,customer_id,product_type,balance,maturity_date,branch_code,status
1001,2598,Savings,45889021,2027-05-07,MDN01,ACTIVE
1002,7567,Savings,27251565,2028-01-04,JKT01,ACTIVE
1003,5284,Savings,27062881,2027-10-17,MDN01,ACTIVE
1004,2110,Time Deposit,1427311175,2026-07-04,SBY01,ACTIVE
1005,7632,Savings,19643748,2027-08-27,SMG01,ACTIVE
1006,9066,Savings,13514776,2028-01-11,SBY01,ACTIVE
1007,2183,Savings,37031372,2027-07-26,MDN01,ACTIVE
1008,4385,Time Deposit,183248438,2027-01-06,MDN01,ACTIVE
1009,5463,Savings,41615333,2027-04-07,BDG01,ACTIVE
1010,1002,Savings,53358507,2027-12-14,SMG01,ACTIVE
1011,9937,Time Deposit,259124411,2026-07-22,SMG01,ACTIVE
1012,1738,Savings,25339634,2027-04-29,JKT01,ACTIVE
1013,2564,Savings,11687554,2026-09-21,SMG01,ACTIVE
1014,2731,Time Deposit,620349547,2027-02-20,JKT02,ACTIVE
1015,5192,Time Deposit,1092159636,2026-11-12,BDG01,ACTIVE
1016,3291,Savings,13110434,2027-04-27,JKT02,ACTIVE
1017,9615,Savings,41416687,2028-01-10,MDN01,ACTIVE
1018,7547,Savings,106564129,2027-03-31,SBY01,ACTIVE
1019,1071,Savings,36780033,2026-10-25,SMG01,ACTIVE
1020,3687,Savings,26888022,2026-08-06,SMG01,ACTIVE
1021,3461,Savings,105159782,2027-03-27,BDG01,ACTIVE
1022,8035,Time Deposit,480243733,2026-11-20,SMG01,ACTIVE
1023,6531,Time Deposit,1016335424,2026-09-15,YGY01,ACTIVE
1024,8288,Time Deposit,754389500,2027-02-20,JKT01,ACTIVE
1025,6733,Savings,35436908,2027-03-14,YGY01,ACTIVE
1026,7634,Savings,11598868,2026-06-28,JKT01,ACTIVE
1027,5334,Savings,23415657,2026-07-05,JKT01,ACTIVE
1028,1206,Savings,19293247,2026-11-01,YGY01,ACTIVE
1029,8992,Time Deposit,1193956843,2026-12-26,SBY01,ACTIVE
1030,6431,Time Deposit,436732463,2026-11-04,JKT02,ACTIVE
1031,3571,Time Deposit,1749918589,2026-10-02,SBY01,ACTIVE
1032,5000,Savings,7193066,2027-04-14,YGY01,ACTIVE
1033,7904,Time Deposit,888144249,2026-09-02,SBY01,ACTIVE
1034,2387,Savings,36876906,2027-10-17,MDN01,ACTIVE
1035,6388,Savings,18052779,2026-07-12,SBY01,ACTIVE
1036,8062,Time Deposit,390169744,2026-08-23,SBY01,ACTIVE
1037,4554,Savings,11277863,2026-07-17,YGY01,ACTIVE
1038,7513,Savings,34829745,2027-07-27,BDG01,ACTIVE
1039,2462,Time Deposit,539103029,2026-09-22,JKT02,ACTIVE
1040,4625,Savings,111172641,2028-03-11,SBY01,ACTIVE
1041,8697,Savings,79775468,2026-12-02,SMG01,ACTIVE
1042,4082,Savings,99519371,2027-11-26,MDN01,ACTIVE
1043,1261,Time Deposit,634717303,2027-03-23,MDN01,ACTIVE
1044,9160,Savings,34800087,2026-12-17,JKT01,ACTIVE
1045,4385,Savings,11950677,2027-03-31,SBY01,ACTIVE
1046,7203,Time Deposit,482894951,2026-09-12,MDN01,ACTIVE
1047,8002,Savings,81951884,2027-09-13,BDG01,ACTIVE
1048,8902,Savings,24702644,2028-02-14,MDN01,ACTIVE
1049,7277,Savings,46187107,2027-12-29,BDG01,ACTIVE
1050,7551,Time Deposit,465802372,2027-01-15,BDG01,ACTIVE
1051,4786,Time Deposit,468121905,2026-11-22,BDG01,ACTIVE
1052,8114,Savings,79601648,2027-07-25,SMG01,ACTIVE
1053,3246,Time Deposit,437058631,2026-08-17,JKT02,ACTIVE
1054,6087,Time Deposit,321552736,2026-05-21,MDN01,ACTIVE
1055,7604,Time Deposit,1005843699,2026-12-14,BDG01,ACTIVE
1056,5492,Time Deposit,932393663,2026-09-14,JKT02,ACTIVE
1057,430,Time Deposit,1429746739,2027-01-21,MDN01,ACTIVE
1058,1181,Time Deposit,437046796,2027-03-09,YGY01,ACTIVE
1059,7299,Savings,57935649,2027-02-05,SBY01,ACTIVE
1060,4413,Time Deposit,1217096568,2026-08-03,JKT01,ACTIVE
1061,5175,Time Deposit,1129409073,2026-07-07,SBY01,ACTIVE
1062,1771,Savings,9908355,2026-07-21,BDG01,ACTIVE
1063,880,Time Deposit,693663347,2026-05-21,SBY01,ACTIVE
1064,2723,Time Deposit,953809667,2026-07-22,MDN01,ACTIVE
