transaction_id,customer_id,account_id,transaction_timestamp,transaction_date,transaction_type,channel,amount,currency_code,merchant_category,merchant_name,origin_city,destination_city,origin_branch_code,device_id,device_os,ip_address,network_type,is_new_device,is_foreign_ip,customer_segment,customer_age,account_tenure_days,days_since_last_txn,txn_count_1d,txn_count_7d,txn_amount_1d,txn_amount_7d,avg_txn_amount_30d,amount_vs_avg_30d_ratio,is_round_amount,is_night_txn,is_weekend_txn,failed_login_count_24h,beneficiary_bank,beneficiary_account_age_days,is_new_beneficiary,distance_from_home_km,velocity_risk_score,behavioral_risk_score,fraud_flag,fraud_reason
900001,5504,2482,2025-09-27 00:13:15,2025-09-27,transfer,edc,51000000,IDR,bank_transfer,SeaBank Transfer Hub,Yogyakarta,Medan,YGY01,EDC-05504-01,POS,118.107.36.74,merchant_network,1,1,Mass,60,4960,999,1,1,51000000,51000000,55813728.42,0.91,1,1,1,9,SeaBank,2,1,1813.64,79.84,100.0,1,new_device_high_amount
900002,8735,2199,2025-09-27 00:18:54,2025-09-27,transfer,internet_banking,7192743,IDR,peer_transfer,BNI Transfer Hub,Semarang,Semarang,SMG01,INT-08735-01,Web,125.53.19.39,wifi,1,0,Mass,24,1606,999,1,1,7192743,7192743,6382879.89,1.13,0,1,1,1,BNI,244,1,22.46,36.72,49.8,0,legitimate_activity
900003,2262,7011,2025-09-27 00:28:28,2025-09-27,transfer,internet_banking,208875414,IDR,bank_transfer,BCA Transfer Hub,Bandung,Yogyakarta,BDG01,INT-02262-02,Web,114.205.59.28,cellular,1,0,SME,24,90,0,3,3,1049947023,1049947023,420535804.5,0.5,0,1,1,3,BCA,11,1,416.69,74.6,67.08,1,new_device_high_amount
900004,2260,1114,2025-09-27 00:58:09,2025-09-27,transfer,internet_banking,38451195,IDR,wallet_transfer,CIMB Niaga Transfer Hub,Jakarta,Medan,JKT01,INT-02260-01,Web,43.127.202.167,wifi,1,1,Mass,38,4594,999,1,1,38451195,38451195,44972312.18,0.85,0,1,1,2,CIMB Niaga,7,1,1419.6,55.1,100.0,1,impossible_travel
900005,863,1705,2025-09-27 01:05:48,2025-09-27,transfer,internet_banking,56500000,IDR,wallet_transfer,Permata Transfer Hub,Yogyakarta,Medan,YGY01,INT-00863-01,Web,172.106.184.202,wifi,1,1,Mass,52,285,999,1,1,56500000,56500000,49609642.66,1.14,1,1,1,1,Permata,3,1,1782.24,52.76,100.0,1,impossible_travel
900006,6010,13801,2025-09-27 01:06:31,2025-09-27,transfer,internet_banking,609397744,IDR,peer_transfer,BSI Transfer Hub,Semarang,Medan,SMG01,INT-06010-01,Web,58.109.44.124,wifi,1,1,Priority,43,1597,999,1,1,609397744,609397744,496117548.7,1.23,0,1,1,5,BSI,26,1,653.18,67.12,93.57,1,account_takeover
900007,2375,12492,2025-09-27 01:09:06,2025-09-27,cash_out,atm,47000000,IDR,cash_pickup,Cash Pickup Counter,Medan,Medan,MDN01,ATM-02375-01,ATM,203.234.109.254,atm_network,1,1,Mass,49,4567,999,1,1,47000000,47000000,42012606.88,1.12,1,1,1,3,SeaBank,10,1,3.64,59.68,81.43,1,account_takeover
900008,2127,1636,2025-09-27 01:19:41,2025-09-27,transfer,mobile_app,9162013,IDR,bank_transfer,BCA Transfer Hub,Jakarta,Jakarta,JKT01,MOB-02127-01,Android,36.5.95.1,cellular,1,0,Mass,34,4903,999,1,1,9162013,9162013,9494612.94,0.96,0,1,1,0,BCA,118,1,16.41,32.54,49.18,0,legitimate_activity
900009,7221,7521,2025-09-27 01:31:57,2025-09-27,transfer,mobile_app,748064547,IDR,peer_transfer,Permata Transfer Hub,Surabaya,Medan,SBY01,MOB-07221-01,iOS,43.194.124.161,wifi,1,1,SME,63,5720,999,1,1,748064547,748064547,821077711.29,0.91,0,1,1,9,Permata,19,1,634.5,79.84,92.27,1,new_device_high_amount
900010,2988,18036,2025-09-27 01:32:44,2025-09-27,bill_payment,mobile_app,663941,IDR,education,School Tuition,Surabaya,Surabaya,SBY01,MOB-02988-01,iOS,120.52.103.159,wifi,1,0,Mass,58,4946,999,1,1,663941,663941,713571.12,0.93,0,1,1,2,Permata,158,1,6.64,39.42,48.91,0,legitimate_activity
